show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,duration_min,primary_country,genres_list,num_genres,year_added,month_added,day_added,text_all
s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,2021-05-01,2014,TV-Y7,76 min,"Children & Family Movies, Comedies",76,India,"['Children & Family Movies', 'Comedies']",2,2021,5,1,"Motu Patlu: Deep Sea Adventure Children & Family Movies, Comedies India"
s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,2021-05-01,2013,TV-Y7,71 min,"Children & Family Movies, Comedies",71,India,"['Children & Family Movies', 'Comedies']",2,2021,5,1,"Motu Patlu: Mission Moon Children & Family Movies, Comedies India"
s852,Movie,99 Songs (Tamil),Not Given,Pakistan,2021-05-21,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals",131,Pakistan,"['Dramas', 'International Movies', 'Music & Musicals']",3,2021,5,21,"99 Songs (Tamil) Dramas, International Movies, Music & Musicals Pakistan"
s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-07-13,2021,TV-14,39 min,Movies,39,United States,['Movies'],1,2021,7,13,Bridgerton - The Afterparty Movies United States
s730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,36 min,Movies,36,United States,['Movies'],1,2021,6,12,Bling Empire - The Afterparty Movies United States
s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,34 min,Movies,34,United States,['Movies'],1,2021,6,12,Cobra Kai - The Afterparty Movies United States
s913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-05-07,2021,TV-14,35 min,Comedies,35,United States,['Comedies'],1,2021,5,7,The Circle - The Afterparty Comedies United States
s4,TV Show,Jailbirds New Orleans,Not Given,Pakistan,2021-09-24,2021,TV-MA,1 Season,"Docuseries, Reality TV",1,Pakistan,"['Docuseries', 'Reality TV']",2,2021,9,24,"Jailbirds New Orleans Docuseries, Reality TV Pakistan"
s15,TV Show,Crime Stories: India Detectives,Not Given,Pakistan,2021-09-22,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",1,Pakistan,"['British TV Shows', 'Crime TV Shows', 'Docuseries']",3,2021,9,22,"Crime Stories: India Detectives British TV Shows, Crime TV Shows, Docuseries Pakistan"
s3232,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,2019-11-26,2019,TV-Y,46 min,Children & Family Movies,46,United States,['Children & Family Movies'],1,2019,11,26,True: Winter Wishes Children & Family Movies United States
s4832,TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1 Season,Kids' TV,1,United States,"[""Kids' TV""]",1,2018,6,15,True: Magical Friends Kids' TV United States
s4833,TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1 Season,Kids' TV,1,United States,"[""Kids' TV""]",1,2018,6,15,True: Wonderful Wishes Kids' TV United States
s4857,TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,2018-05-18,2018,TV-Y,1 Season,Kids' TV,1,United States,"[""Kids' TV""]",1,2018,5,18,Dance & Sing with True Kids' TV United States
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",,2021-09-24,2021,PG,91 min,Children & Family Movies,91,Unknown,['Children & Family Movies'],1,2021,9,24,My Little Pony: A New Generation Children & Family Movies 
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,,2021-09-23,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",1,Unknown,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']",3,2021,9,23,"Bangkok Breaking Crime TV Shows, International TV Shows, TV Action & Adventure "
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",,2021-09-22,2020,TV-MA,67 min,"Documentaries, International Movies",67,Unknown,"['Documentaries', 'International Movies']",2,2021,9,22,"Europe's Most Dangerous Man: Otto Skorzeny in Spain Documentaries, International Movies "
s7930,Movie,Samudri Lootere,Anirban Majumder,,2019-06-18,2018,TV-Y,65 min,Children & Family Movies,65,Unknown,['Children & Family Movies'],1,2019,6,18,Samudri Lootere Children & Family Movies 
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,2021-09-22,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",1,United States,"['Crime TV Shows', 'Docuseries', 'International TV Shows']",3,2021,9,22,"Monsters Inside: The 24 Faces of Billy Milligan Crime TV Shows, Docuseries, International TV Shows United States"
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,2021-09-21,2021,TV-Y,61 min,Children & Family Movies,61,United States,['Children & Family Movies'],1,2021,9,21,Go! Go! Cory Carson: Chrissy Takes the Wheel Children & Family Movies United States
s25,Movie,Jeans,S. Shankar,India,2021-09-21,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",166,India,"['Comedies', 'International Movies', 'Romantic Movies']",3,2021,9,21,"Jeans Comedies, International Movies, Romantic Movies India"
s28,Movie,Grown Ups,Dennis Dugan,United States,2021-09-20,2010,PG-13,103 min,Comedies,103,United States,['Comedies'],1,2021,9,20,Grown Ups Comedies United States
s29,Movie,Dark Skies,Scott Stewart,United States,2021-09-19,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",97,United States,"['Horror Movies', 'Sci-Fi & Fantasy']",2,2021,9,19,"Dark Skies Horror Movies, Sci-Fi & Fantasy United States"
s30,Movie,Paranoia,Robert Luketic,United States,2021-09-19,2013,PG-13,106 min,Thrillers,106,United States,['Thrillers'],1,2021,9,19,Paranoia Thrillers United States
s20,TV Show,Jaguar,Not Given,Pakistan,2021-09-22,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",1,Pakistan,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Action & Adventure']",3,2021,9,22,"Jaguar International TV Shows, Spanish-Language TV Shows, TV Action & Adventure Pakistan"
s32,TV Show,Chicago Party Aunt,Not Given,Pakistan,2021-09-17,2021,TV-MA,1 Season,TV Comedies,1,Pakistan,['TV Comedies'],1,2021,9,17,Chicago Party Aunt TV Comedies Pakistan
s34,TV Show,Squid Game,Not Given,Pakistan,2021-09-17,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",1,Pakistan,"['International TV Shows', 'TV Dramas', 'TV Thrillers']",3,2021,9,17,"Squid Game International TV Shows, TV Dramas, TV Thrillers Pakistan"
s35,TV Show,Tayo and Little Wizards,Not Given,Pakistan,2021-09-17,2020,TV-Y7,1 Season,Kids' TV,1,Pakistan,"[""Kids' TV""]",1,2021,9,17,Tayo and Little Wizards Kids' TV Pakistan
s75,TV Show,The World's Most Amazing Vacation Rentals,Not Given,Pakistan,2021-09-14,2021,TV-PG,2 Seasons,Reality TV,2,Pakistan,['Reality TV'],1,2021,9,14,The World's Most Amazing Vacation Rentals Reality TV Pakistan
s84,TV Show,Metal Shop Masters,Not Given,Pakistan,2021-09-10,2021,TV-MA,1 Season,Reality TV,1,Pakistan,['Reality TV'],1,2021,9,10,Metal Shop Masters Reality TV Pakistan
s86,TV Show,Pokémon Master Journeys: The Series,Not Given,Pakistan,2021-09-10,2021,TV-Y7,1 Season,"Anime Series, Kids' TV",1,Pakistan,"['Anime Series', ""Kids' TV""]",2,2021,9,10,"Pokémon Master Journeys: The Series Anime Series, Kids' TV Pakistan"
s88,TV Show,Titipo Titipo,Not Given,Pakistan,2021-09-10,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",2,Pakistan,"[""Kids' TV"", 'Korean TV Shows']",2,2021,9,10,"Titipo Titipo Kids' TV, Korean TV Shows Pakistan"
s90,TV Show,Mighty Raju,Not Given,Pakistan,2021-09-09,2017,TV-Y7,4 Seasons,Kids' TV,4,Pakistan,"[""Kids' TV""]",1,2021,9,9,Mighty Raju Kids' TV Pakistan
s101,TV Show,Tobot Galaxy Detectives,Not Given,Pakistan,2021-09-07,2019,TV-Y7,2 Seasons,Kids' TV,2,Pakistan,"[""Kids' TV""]",1,2021,9,7,Tobot Galaxy Detectives Kids' TV Pakistan
s122,TV Show,Hotel Del Luna,Not Given,Pakistan,2021-09-02,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,Pakistan,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",3,2021,9,2,"Hotel Del Luna International TV Shows, Romantic TV Shows, TV Comedies Pakistan"
s133,TV Show,Brave Animated Series,Not Given,Pakistan,2021-09-01,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",1,Pakistan,"['International TV Shows', 'TV Action & Adventure', 'TV Comedies']",3,2021,9,1,"Brave Animated Series International TV Shows, TV Action & Adventure, TV Comedies Pakistan"
s148,TV Show,How to Be a Cowboy,Not Given,Pakistan,2021-09-01,2021,TV-PG,1 Season,Reality TV,1,Pakistan,['Reality TV'],1,2021,9,1,How to Be a Cowboy Reality TV Pakistan
s166,TV Show,Oldsters,Not Given,Pakistan,2021-09-01,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",1,Pakistan,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",3,2021,9,1,"Oldsters Crime TV Shows, International TV Shows, Spanish-Language TV Shows Pakistan"
s190,TV Show,Bread Barbershop,Not Given,Pakistan,2021-08-28,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies",2,Pakistan,"[""Kids' TV"", 'TV Comedies']",2,2021,8,28,"Bread Barbershop Kids' TV, TV Comedies Pakistan"
s182,TV Show,Turning Point: 9/11 and the War on Terror,Not Given,Pakistan,2021-09-01,2021,TV-14,1 Season,Docuseries,1,Pakistan,['Docuseries'],1,2021,9,1,Turning Point: 9/11 and the War on Terror Docuseries Pakistan
s187,TV Show,Hometown Cha-Cha-Cha,Not Given,Pakistan,2021-08-29,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,Pakistan,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",3,2021,8,29,"Hometown Cha-Cha-Cha International TV Shows, Romantic TV Shows, TV Comedies Pakistan"
s188,TV Show,The Ingenuity of the Househusband,Not Given,Pakistan,2021-08-29,2021,TV-G,1 Season,"International TV Shows, TV Comedies",1,Pakistan,"['International TV Shows', 'TV Comedies']",2,2021,8,29,"The Ingenuity of the Househusband International TV Shows, TV Comedies Pakistan"
s27,Movie,Minsara Kanavu,Rajiv Menon,India,2021-09-21,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",147,India,"['Comedies', 'International Movies', 'Music & Musicals']",3,2021,9,21,"Minsara Kanavu Comedies, International Movies, Music & Musicals India"
s19,Movie,Intrusion,Adam Salky,,2021-09-22,2021,TV-14,94 min,Thrillers,94,Unknown,['Thrillers'],1,2021,9,22,Intrusion Thrillers 
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,,2021-09-21,1996,TV-PG,161 min,"Comedies, International Movies",161,Unknown,"['Comedies', 'International Movies']",2,2021,9,21,"Avvai Shanmughi Comedies, International Movies "
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",,2021-09-17,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",111,Unknown,"['Dramas', 'Independent Movies', 'International Movies']",3,2021,9,17,"Ankahi Kahaniya Dramas, Independent Movies, International Movies "
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,,2021-09-17,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",110,Unknown,"['Dramas', 'International Movies', 'Thrillers']",3,2021,9,17,"The Father Who Moves Mountains Dramas, International Movies, Thrillers "
s37,Movie,The Stronghold,Cédric Jimenez,,2021-09-17,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",105,Unknown,"['Action & Adventure', 'Dramas', 'International Movies']",3,2021,9,17,"The Stronghold Action & Adventure, Dramas, International Movies "
s39,Movie,Birth of the Dragon,George Nolfi,China,2021-09-16,2017,PG-13,96 min,"Action & Adventure, Dramas",96,China,"['Action & Adventure', 'Dramas']",2,2021,9,16,"Birth of the Dragon Action & Adventure, Dramas China"
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,2021-09-16,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,South Africa,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",3,2021,9,16,"The Smart Money Woman International TV Shows, Romantic TV Shows, TV Comedies South Africa"
s76,Movie,You vs. Wild: Out Cold,Ben Simms,United States,2021-09-14,2021,TV-G,106 min,Children & Family Movies,106,United States,['Children & Family Movies'],1,2021,9,14,You vs. Wild: Out Cold Children & Family Movies United States
s42,Movie,Jaws,Steven Spielberg,United States,2021-09-16,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",124,United States,"['Action & Adventure', 'Classic Movies', 'Dramas']",3,2021,9,16,"Jaws Action & Adventure, Classic Movies, Dramas United States"
s43,Movie,Jaws 2,Jeannot Szwarc,United States,2021-09-16,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",116,United States,"['Dramas', 'Horror Movies', 'Thrillers']",3,2021,9,16,"Jaws 2 Dramas, Horror Movies, Thrillers United States"
s44,Movie,Jaws 3,Joe Alves,United States,2021-09-16,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",98,United States,"['Action & Adventure', 'Horror Movies', 'Thrillers']",3,2021,9,16,"Jaws 3 Action & Adventure, Horror Movies, Thrillers United States"
s45,Movie,Jaws: The Revenge,Joseph Sargent,United States,2021-09-16,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",91,United States,"['Action & Adventure', 'Horror Movies', 'Thrillers']",3,2021,9,16,"Jaws: The Revenge Action & Adventure, Horror Movies, Thrillers United States"
s47,Movie,Safe House,Daniel Espinosa,South Africa,2021-09-16,2012,R,115 min,Action & Adventure,115,South Africa,['Action & Adventure'],1,2021,9,16,Safe House Action & Adventure South Africa
s49,Movie,Training Day,Antoine Fuqua,United States,2021-09-16,2001,R,122 min,"Dramas, Thrillers",122,United States,"['Dramas', 'Thrillers']",2,2021,9,16,"Training Day Dramas, Thrillers United States"
s1093,Movie,Dolly Parton: A MusiCares Tribute,Not Given,Pakistan,2021-04-07,2021,TV-PG,55 min,"Documentaries, Music & Musicals",55,Pakistan,"['Documentaries', 'Music & Musicals']",2,2021,4,7,"Dolly Parton: A MusiCares Tribute Documentaries, Music & Musicals Pakistan"
s195,TV Show,Deadly Sins,Not Given,Pakistan,2021-08-27,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",1,Pakistan,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",3,2021,8,27,"Deadly Sins International TV Shows, Spanish-Language TV Shows, TV Dramas Pakistan"
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,2021-09-15,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",99,Japan,"['Action & Adventure', 'Anime Features', 'International Movies']",3,2021,9,15,"InuYasha the Movie 2: The Castle Beyond the Looking Glass Action & Adventure, Anime Features, International Movies Japan"
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,2021-09-15,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",99,Japan,"['Action & Adventure', 'Anime Features', 'International Movies']",3,2021,9,15,"InuYasha the Movie 3: Swords of an Honorable Ruler Action & Adventure, Anime Features, International Movies Japan"
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,2021-09-15,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",88,Japan,"['Action & Adventure', 'Anime Features', 'International Movies']",3,2021,9,15,"InuYasha the Movie 4: Fire on the Mystic Island Action & Adventure, Anime Features, International Movies Japan"
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,2021-09-15,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",100,Japan,"['Action & Adventure', 'Anime Features', 'International Movies']",3,2021,9,15,"InuYasha the Movie: Affections Touching Across Time Action & Adventure, Anime Features, International Movies Japan"
s198,TV Show,I Heart Arlo,Not Given,Pakistan,2021-08-27,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",1,Pakistan,"[""Kids' TV"", 'TV Comedies']",2,2021,8,27,"I Heart Arlo Kids' TV, TV Comedies Pakistan"
s56,TV Show,Nailed It,Not Given,United States,2021-09-15,2021,TV-PG,6 Seasons,Reality TV,6,United States,['Reality TV'],1,2021,9,15,Nailed It Reality TV United States
s498,TV Show,Cat People,Not Given,Pakistan,2021-07-07,2021,TV-14,1 Season,Docuseries,1,Pakistan,['Docuseries'],1,2021,7,7,Cat People Docuseries Pakistan
s214,TV Show,RIDE ON TIME,Not Given,Pakistan,2021-08-27,2021,TV-PG,3 Seasons,"Docuseries, International TV Shows",3,Pakistan,"['Docuseries', 'International TV Shows']",2,2021,8,27,"RIDE ON TIME Docuseries, International TV Shows Pakistan"
s219,TV Show,Titletown High,Not Given,Pakistan,2021-08-27,2021,TV-14,1 Season,"Reality TV, Teen TV Shows",1,Pakistan,"['Reality TV', 'Teen TV Shows']",2,2021,8,27,"Titletown High Reality TV, Teen TV Shows Pakistan"
s225,TV Show,Motel Makeover,Not Given,Pakistan,2021-08-25,2021,TV-14,1 Season,"International TV Shows, Reality TV",1,Pakistan,"['International TV Shows', 'Reality TV']",2,2021,8,25,"Motel Makeover International TV Shows, Reality TV Pakistan"
s226,TV Show,Open Your Eyes,Not Given,Pakistan,2021-08-25,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",1,Pakistan,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",3,2021,8,25,"Open Your Eyes International TV Shows, TV Dramas, TV Mysteries Pakistan"
s227,TV Show,Post Mortem: No One Dies in Skarnes,Not Given,Pakistan,2021-08-25,2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",1,Pakistan,"['International TV Shows', 'TV Comedies', 'TV Dramas']",3,2021,8,25,"Post Mortem: No One Dies in Skarnes International TV Shows, TV Comedies, TV Dramas Pakistan"
s46,Movie,My Heroes Were Cowboys,Tyler Greco,,2021-09-16,2021,PG,23 min,Documentaries,23,Unknown,['Documentaries'],1,2021,9,16,My Heroes Were Cowboys Documentaries 
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,2021-09-15,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",102,Japan,"['Action & Adventure', 'Anime Features', 'International Movies']",3,2021,9,15,"Naruto Shippuden the Movie: Blood Prison Action & Adventure, Anime Features, International Movies Japan"
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,2021-09-15,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",93,Japan,"['Action & Adventure', 'Anime Features', 'International Movies']",3,2021,9,15,"Naruto Shippûden the Movie: Bonds Action & Adventure, Anime Features, International Movies Japan"
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,2021-09-15,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",96,Japan,"['Action & Adventure', 'Anime Features', 'International Movies']",3,2021,9,15,"Naruto Shippûden the Movie: The Will of Fire Action & Adventure, Anime Features, International Movies Japan"
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,2021-09-15,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",95,Japan,"['Action & Adventure', 'Anime Features', 'International Movies']",3,2021,9,15,"Naruto Shippuden: The Movie Action & Adventure, Anime Features, International Movies Japan"
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,2021-09-15,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",85,Japan,"['Action & Adventure', 'Anime Features', 'International Movies']",3,2021,9,15,"Naruto Shippuden: The Movie: The Lost Tower Action & Adventure, Anime Features, International Movies Japan"
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,2021-09-15,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",97,Japan,"['Action & Adventure', 'Anime Features', 'International Movies']",3,2021,9,15,"Naruto the Movie 2: Legend of the Stone of Gelel Action & Adventure, Anime Features, International Movies Japan"
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,2021-09-15,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",95,Japan,"['Action & Adventure', 'Anime Features', 'International Movies']",3,2021,9,15,"Naruto the Movie 3: Guardians of the Crescent Moon Kingdom Action & Adventure, Anime Features, International Movies Japan"
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan,2021-09-15,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",83,Japan,"['Action & Adventure', 'Anime Features', 'International Movies']",3,2021,9,15,"Naruto the Movie: Ninja Clash in the Land of Snow Action & Adventure, Anime Features, International Movies Japan"
s243,TV Show,Comedy Premium League,Not Given,Pakistan,2021-08-20,2021,TV-MA,1 Season,"International TV Shows, TV Comedies",1,Pakistan,"['International TV Shows', 'TV Comedies']",2,2021,8,20,"Comedy Premium League International TV Shows, TV Comedies Pakistan"
s244,TV Show,Everything Will Be Fine,Not Given,Pakistan,2021-08-20,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",1,Pakistan,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Comedies']",3,2021,8,20,"Everything Will Be Fine International TV Shows, Spanish-Language TV Shows, TV Comedies Pakistan"
s246,TV Show,Korean Cold Noodle Rhapsody,Not Given,Pakistan,2021-08-20,2021,TV-PG,1 Season,"Docuseries, International TV Shows",1,Pakistan,"['Docuseries', 'International TV Shows']",2,2021,8,20,"Korean Cold Noodle Rhapsody Docuseries, International TV Shows Pakistan"
s249,TV Show,The Chair,Not Given,Pakistan,2021-08-20,2021,TV-MA,1 Season,"TV Comedies, TV Dramas",1,Pakistan,"['TV Comedies', 'TV Dramas']",2,2021,8,20,"The Chair TV Comedies, TV Dramas Pakistan"
s261,TV Show,The Defeated,Not Given,Pakistan,2021-08-18,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",1,Pakistan,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",3,2021,8,18,"The Defeated Crime TV Shows, International TV Shows, TV Dramas Pakistan"
s310,TV Show,Car Masters: Rust to Riches,Not Given,Pakistan,2021-08-04,2021,TV-PG,3 Seasons,Reality TV,3,Pakistan,['Reality TV'],1,2021,8,4,Car Masters: Rust to Riches Reality TV Pakistan
s74,Movie,King of Boys,Kemi Adetiba,Nigeria,2021-09-14,2018,TV-MA,182 min,"Dramas, International Movies",182,Nigeria,"['Dramas', 'International Movies']",2,2021,9,14,"King of Boys Dramas, International Movies Nigeria"
s321,TV Show,Top Secret UFO Projects: Declassified,Not Given,Pakistan,2021-08-03,2021,TV-PG,1 Season,Docuseries,1,Pakistan,['Docuseries'],1,2021,8,3,Top Secret UFO Projects: Declassified Docuseries Pakistan
s337,TV Show,Friday Night Lights,Not Given,Pakistan,2021-08-01,2010,TV-14,5 Seasons,"TV Dramas, Teen TV Shows",5,Pakistan,"['TV Dramas', 'Teen TV Shows']",2,2021,8,1,"Friday Night Lights TV Dramas, Teen TV Shows Pakistan"
s365,TV Show,Centaurworld,Not Given,Pakistan,2021-07-30,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",1,Pakistan,"[""Kids' TV"", 'TV Comedies']",2,2021,7,30,"Centaurworld Kids' TV, TV Comedies Pakistan"
s369,TV Show,Khawatir,Not Given,Pakistan,2021-07-30,2009,TV-14,1 Season,"International TV Shows, Reality TV",1,Pakistan,"['International TV Shows', 'Reality TV']",2,2021,7,30,"Khawatir International TV Shows, Reality TV Pakistan"
s370,TV Show,Myth & Mogul: John DeLorean,Not Given,Pakistan,2021-07-30,2021,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries",1,Pakistan,"['British TV Shows', 'Crime TV Shows', 'Docuseries']",3,2021,7,30,"Myth & Mogul: John DeLorean British TV Shows, Crime TV Shows, Docuseries Pakistan"
s377,TV Show,Transformers: War for Cybertron: Kingdom,Not Given,Pakistan,2021-07-29,2021,TV-Y7,1 Season,Anime Series,1,Pakistan,['Anime Series'],1,2021,7,29,Transformers: War for Cybertron: Kingdom Anime Series Pakistan
s380,TV Show,Tattoo Redo,Not Given,Pakistan,2021-07-28,2021,TV-MA,1 Season,Reality TV,1,Pakistan,['Reality TV'],1,2021,7,28,Tattoo Redo Reality TV Pakistan
